Wall time,Step,Value
1702174523.1224177,4131910,53.0
1702174524.9689646,4134690,55.0
1702174525.1412241,4135030,39.0
1702174528.55829,4140340,53.0
1702174528.6354332,4140490,43.0
1702174529.543925,4141940,53.0
1702174530.7114892,4143610,55.0
1702174533.176829,4148300,51.0
1702174536.5228105,4154330,49.0
1702174536.9838667,4155070,52.0
1702174544.9972346,4170220,54.0
1702174547.0159793,4173970,52.0
1702174553.1118495,4185220,54.0
1702174553.6013393,4186040,53.0
1702174553.7879567,4186540,55.0
1702174554.2289674,4187230,52.0
1702174554.8315258,4188310,53.0
1702174557.1247854,4192760,50.0
1702174557.2027273,4192960,52.0
1702174563.1160092,4203860,50.0
1702174565.33605,4207890,53.0
1702174568.878979,4214510,51.0
1702174570.3663058,4217350,52.0
1702174570.4557188,4217570,52.0
1702174570.6662836,4217650,51.0
1702174570.6967883,4217730,54.0
1702174574.128487,4224060,51.0
1702174575.0374274,4225930,54.0
1702174578.6585495,4232870,53.0
1702174578.9119956,4233070,54.0
1702174579.21626,4233860,55.0
1702174580.6821375,4236610,54.0
1702174583.4838102,4241820,53.0
1702174583.7053432,4241940,54.0
1702174584.7642589,4244180,54.0
1702174586.1968286,4246960,50.0
1702174587.0869086,4248350,53.0
1702174588.7076325,4251540,52.0
1702174589.323917,4252640,50.0
1702174590.1608384,4254350,54.0
1702174592.9456592,4259720,53.0
1702174595.28134,4263690,53.0
1702174602.5123475,4277470,52.0
1702174603.1026826,4278500,54.0
1702174603.5269184,4279120,54.0
1702174605.0008848,4281920,51.0
1702174605.9055798,4283760,53.0
1702174607.7623773,4287110,42.0
1702174608.7012224,4289120,54.0
1702174609.063203,4289610,54.0
1702174610.0537336,4291830,53.0
1702174612.0078216,4295280,55.0
1702174612.5926468,4296290,54.0
1702174617.4130435,4304920,53.0
1702174622.3291016,4313910,51.0
1702174623.6118832,4316230,46.0
1702174625.4402637,4319900,54.0
1702174630.7774746,4329690,51.0
1702174635.6600263,4338760,51.0
1702174636.1571655,4339580,53.0
1702174640.1483934,4347040,51.0
1702174640.1553085,4347060,51.0
1702174641.2244136,4349310,54.0
1702174642.4781978,4351440,53.0
1702174652.9757414,4370930,54.0
1702174654.1664107,4373050,49.0
1702174654.1939735,4373120,53.0
1702174657.1221366,4378670,55.0
1702174657.444816,4379040,55.0
1702174657.8657818,4380120,52.0
1702174658.9511397,4381920,54.0
1702174659.0916352,4382290,53.0
1702174660.4351678,4384820,51.0
1702174661.139031,4386160,53.0
1702174661.9452581,4387680,49.0
1702174662.6568422,4389000,49.0
1702174664.473864,4392310,54.0
1702174667.0849798,4397220,55.0
1702174669.94796,4402540,51.0
1702174670.715938,4403960,54.0
1702174670.8202536,4404220,54.0
1702174673.5614338,4409350,53.0
1702174678.0555186,4417400,53.0
1702174678.425291,4418360,54.0
1702174679.4001045,4419960,50.0
1702174682.6142519,4426120,53.0
1702174683.1994677,4427170,52.0
1702174684.6683724,4430010,53.0
1702174687.3101182,4434980,55.0
1702174687.6580656,4435380,53.0
1702174688.513775,4437120,53.0
1702174691.0956202,4441980,50.0
1702174692.766235,4445370,54.0
1702174693.7289085,4446950,54.0
1702174694.8267372,4449220,52.0
1702174697.0764287,4453170,54.0
1702174697.4424562,4454110,49.0
1702174698.205399,4455560,50.0
1702174699.5890932,4458200,50.0
1702174700.1237097,4459140,55.0
1702174700.8159032,4460430,54.0
1702174709.7713733,4477130,54.0
1702174712.1669815,4481360,51.0
1702174712.2880497,4481650,47.0
1702174715.8593576,4488290,54.0
1702174716.5016525,4489450,51.0
1702174718.7576425,4493710,50.0
1702174719.8770883,4495620,53.0
1702174720.5554192,4496880,48.0
1702174720.72356,4497300,53.0
1702174721.273066,4498250,55.0
1702174722.7401989,4501000,48.0
1702174723.3445404,4502080,54.0
1702174723.5242016,4502530,51.0
1702174723.9547825,4503170,50.0
1702174726.3290627,4507760,52.0
1702174726.4686239,4508100,53.0
1702174726.765326,4508400,53.0
1702174729.553188,4513440,54.0
1702174729.854475,4514190,54.0
1702174734.6517444,4523000,52.0
1702174737.3471348,4527730,46.0
1702174737.6422791,4528400,52.0
1702174738.2006512,4529370,53.0
1702174738.297029,4529610,47.0
1702174738.8188605,4530470,53.0
1702174741.8210673,4536070,53.0
1702174743.7574053,4539500,55.0
1702174744.2482076,4540290,53.0
1702174746.7170544,4544890,53.0
1702174747.3790286,4546100,52.0
1702174750.629023,4551880,55.0
1702174750.822513,4552360,54.0
1702174751.31794,4553150,54.0
1702174751.5451705,4553710,54.0
1702174752.0963871,4554640,55.0
1702174758.4796057,4566270,47.0
1702174762.2880938,4573330,53.0
1702174762.5802271,4573620,55.0
1702174762.5879931,4573640,49.0
1702174763.4693053,4575390,51.0
1702174764.874613,4577810,54.0
1702174768.5814157,4584490,51.0
1702174770.442036,4587810,47.0
1702174774.1052775,4594880,54.0
1702174775.338402,4597110,54.0
1702174776.1043139,4598600,47.0
1702174783.7360919,4612910,54.0
1702174789.8904877,4624410,54.0
1702174790.2388892,4624860,54.0
1702174792.4639237,4628970,55.0
1702174793.3880677,4630870,51.0
1702174795.6743145,4634890,55.0
1702174796.727062,4637130,51.0
1702174797.7406478,4638800,49.0
1702174798.004989,4639440,54.0
1702174799.5453463,4642320,53.0
1702174802.158987,4647120,55.0
1702174802.6484122,4647910,52.0
1702174809.6682138,4661140,55.0
1702174812.288177,4665800,54.0
1702174814.6793,4670330,54.0
1702174814.6913733,4670360,54.0
1702174814.7988782,4670630,51.0
1702174816.0126996,4672780,55.0
1702174816.8161445,4674370,51.0
1702174817.0984752,4674640,53.0
1702174817.4236178,4675460,52.0
1702174818.187638,4676960,50.0
1702174822.2058828,4684160,55.0
1702174824.8290436,4688980,55.0
1702174825.7447863,4690860,50.0
1702174828.272074,4695300,54.0
1702174833.7808957,4705640,53.0
1702174833.784808,4705650,55.0
1702174834.0072749,4706170,54.0
1702174835.0757868,4707970,54.0
1702174839.4260786,4716270,54.0
1702174839.9422534,4717190,54.0
1702174840.4968092,4718160,54.0
1702174840.642026,4718540,55.0
1702174842.1742759,4721500,54.0
1702174849.0635633,4734580,53.0
1702174850.8902612,4737890,51.0
1702174854.915757,4745540,51.0
1702174855.8844476,4747470,53.0
1702174856.8546538,4749020,52.0
1702174857.5992942,4750460,55.0
1702174857.7005785,4750720,53.0
1702174858.8123674,4752690,54.0
1702174859.7753332,4754690,54.0
1702174861.5644617,4757950,53.0
1702174862.5463305,4759870,53.0
1702174865.0998032,4764210,53.0
1702174865.1889584,4764410,54.0
1702174866.795181,4767590,51.0
1702174868.6700146,4770970,51.0
1702174872.8712068,4778950,54.0
1702174874.2556756,4781420,54.0
1702174875.0377905,4782970,52.0
1702174875.0737512,4783060,51.0
1702174875.4943297,4783680,50.0
1702174878.1917717,4788670,50.0
1702174879.873267,4792050,53.0
1702174880.653956,4793590,54.0
1702174881.1937218,4794490,51.0
1702174882.6530502,4797300,51.0
1702174882.6727102,4797350,55.0
1702174886.7757533,4805080,54.0
1702174887.9266744,4807090,54.0
1702174891.9408247,4814610,53.0
1702174893.1879344,4816890,53.0
1702174895.4294326,4821080,54.0
1702174896.6663506,4823320,51.0
1702174897.4411607,4824800,54.0
1702174900.7995257,4830880,54.0
1702174901.5696964,4832190,54.0
1702174903.5785651,4836030,55.0
1702174904.9121075,4838490,53.0
1702174909.9229305,4848050,54.0
1702174910.1555693,4848640,52.0
1702174911.120712,4850210,54.0
1702174911.2719007,4850600,54.0
1702174912.6752908,4853190,51.0
1702174912.8956518,4853730,52.0
1702174913.4974852,4854780,54.0
1702174916.1061513,4859540,49.0
1702174916.2426896,4859890,50.0
1702174916.3030899,4860040,54.0
1702174916.7976136,4860840,48.0
1702174919.6538594,4865990,54.0
1702174924.6093762,4875340,55.0
1702174925.1724162,4876320,51.0
